name,src,img,tags,開催日,販売,住所,TEL,MAIL,Instagram,content,見学,WEB,Twitter,所要時間,駐車場,採用情報,オンラインショップ,Facebook,開催情報,見学予約,営業時間,入館料,注意事項,開催日時,予約方法,レストラン営業時間,ショップ,料金,予約,LINE,イベントページ,求人情報,見学料金,Mail,web,販売・見学,求人募集,備考
PARK,https://renew-fukui.com/exhibitor/park/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/park01.jpg,地域企業,,,〒916-1222 福井県鯖江市河和田町19-1-7,090-5179-8523,shibacoffee2017@gmail.com,,PARKは鯖江に移り住んだ移住者たち4名で運営する複合施設。2017年に長年使われていなかった元めがね工場と社員寮をリノベーションし、多様な人たちが、ものづくりで繋がるプラットフォームとして生まれ変わりました。現在は週末カフェ・オフィス・シェアハウスの運営、様々なイベント開催など使用されており、「暮らし、集い、作る」がたえまなく循環し、地域に新しい価値と関係性を生み出しています。RENEW期間中はトークイベント会場としてご利用いただけます。,,,,,,,,,,,,,,6-8日 10:00-17:00,,,,,,,,,,,,,,
サカエマーク,https://renew-fukui.com/exhibitor/sakaemark/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/top01-1024x682.jpg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ,求人募集",7・8日,,〒916-0019 福井県鯖江市丸山町4-1-45,0778-52-2500,sakae@sakaemark.co.jp,https://www.instagram.com/sakaemark/?igshid=YmMyMTA2M2Y=,株式会社サカエマークは、特殊印刷を得意とする鯖江の印刷会社です。シール印刷・オフセット印刷・オンデマンド印刷・特殊印刷を行っています。めがねの街鯖江で、めがね製品に関する下札やパッケージ、シール印刷を手がけて50年。デザインから印刷、加工まで「自社内一貫生産」を確立し、お客様のあらゆるニーズに迅速に対応しています。,"7日 10:00-12:00 / 13:00-17:00
8日 10:00-12:00 / 13:00-17:00",sakaemark.co.jp,https://twitter.com/sakaemark522500,45分,,一緒に働く人を募集しています。,https://sakaemark.stores.jp/,https://www.facebook.com/sakaemark,,予約優先,,,,,WEB：https://sakaemark-renew.stores.jp,,,,,,,,,,,,,
草月陶房,https://renew-fukui.com/exhibitor/sougetsutobo/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/aa2a47f136d892633323bd3d090f635c.jpg,"工房見学,ワークショップ",6-8日,6-8日 10:00-16:00,〒916-0273 福井県丹生郡越前町小曽原16-20,0778-32-2234,tobo@sogetsu.com,,いけばなは元より、絵画、映画、陶芸、書、作庭など様々な領域で前衛的な創作活動を展開した、いけばな草月流第三代家元 勅使河原 宏により1973年に開設。第四代家元 勅使河原 茜に継承され現在に至る。いけばなに使用される花器の生産現場であると同時に、草月流会員が自作花器の制作を学ぶ施設としても利用されている。近年は一般にも開かれた「場」として「いけばな展」や「映画上映会」など様々なイベントの開催を試みています。,6-8日 10:00-16:00,,,15-30分,,,,,,,,,越前陶芸村の中にありますがとても分かりにくい場所なので、迷われたら早めにご連絡下さい。,,,,,,,,,,,,,,,
かわだ温泉　ラポーゼかわだ,https://renew-fukui.com/exhibitor/lapause/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/b4e3df1c3dfad4d3583fdeb0df0a8cd4-1024x783.jpg,宿泊,6-8日 11:00-22:00,,〒916-1235 福井県鯖江市上河内町19-37-2,0778-65-0012,info@lapause.info,https://www.instagram.com/lapause0012/,"「かわだ温泉」は肌がすべすべになると言われる重曹泉と 動脈硬化防止に効能があると言われる芒硝泉が同時に含まれる日本でも数例しかないという珍しい温泉です。ゆっくりお風呂に入って、疲れた体を癒してください。
パン焼き体験（要予約）やレストランでのお食事もお待ちしてます。",,https://www.lapause.jp/,,,,,,,,,,,,,,11:30-14:00（13:30 L.O）,,,,,,,,,,,,
和紙屋・杉原商店,https://renew-fukui.com/exhibitor/sugiharasyouten/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/sugihara03-1024x683.jpg,"ショップ,求人募集",6-8日,,〒915-0235 福井県越前市不老町17-2,0778-42-0032,sugihara@washiya.com,https://www.instagram.com/sugiharawashi/,明治4年創業の和紙問屋。100年前の土蔵をギャラリーにして、様々な和紙の展示販売を行っています。漆と和紙を融合させてた『漆和紙（うるわし）』、伝統技法の透かし技術を使った『ちぎり和紙』、インクジェットプリンタや、レーザープリンタに対応した『羽二重紙（はぶたえし）』。これらは皆、杉原商店の登録商標です。,,https://www.washiya.com/,https://twitter.com/sugiha,,有り,一緒に働く人を募集しています。,https://www.washiya.com/shop/,https://www.facebook.com/sugiharawashi,,,,,※工房内の商品は、撮影禁止です。,,,,"6•8日 8:30-15:30
7日 8:30-13:30",,,,,,,,,,,
松原蝶製作,https://renew-fukui.com/exhibitor/matsubara-nosepad/,https://renew-fukui.com/kanri/wp-content/uploads/2023/07/image13.jpeg,"ワークショップ,ワークショップ予約受付,ショップ",7-8日,7-8日 10:00-12:00 / 13:00-16:00,〒916-0029福井県鯖江市北野町1丁目1-20,0778-51-2752,info@matsubara-nosepad.co.jp,https://www.instagram.com/matsubara_nose_pad/,鯖江市で創業61年眼鏡用鼻パッド専門メーカーとして福井の産業技術に関わっています。 国内ブランドのアセテート製眼鏡の鼻パッド90％シェアを誇っている。アセテート製眼鏡フロント枠プレス加工も同時に行っており、押さえ型も百種類程あり、鯖江では7割弊社で加工しております。”,,https://matsubara-nosepad.co.jp,,,駐車場が狭いため、予約して頂けると助かります。,,,https://www.facebook.com/matsubarachouseisaku?locale=ja_JP,,,,,,,,,,,,,,,,,,,,
山田英夫商店,https://renew-fukui.com/exhibitor/yamadahideo/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/yamadahideo01-1024x786.jpg,"工房見学,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 10:00-18:00,〒915-0846 福井県越前市千福町28,0778-22-5359,info@kkyamada.com,,"700年の伝統を持つ越前打刃物の産地にあって、私たちは、鍛冶職人と研ぎ職人によって仕上がった包丁に、柄を付け、ヒズミの調整や名入れをし、商品に仕上げる問屋の仕事をしてきました。
お客様に包丁を提案させていただく中で、さらに使い心地のいい包丁をと、2015年に「風味絶佳ECHIZEN」という自社ブランドを設立。グリップに特徴のある三徳、中三徳、ペティ、薄引き、洋出刃の5つのアイテムを2種類のカラーで展開しています。
包丁を長く使っていくために、研ぎ直しや柄の付け替えなどのメンテナンスも承っています。",6-8日 10:00-18:00,http://kkyamada.com,,30分,有り,,http://kkyamada.com,https://www.facebook.com/kitchenknifeyamada,,,,,刃物を取り扱っておりますので、怪我をされないように十分お気を付けください。,,,,,,,,,,,,,,,
鯖江駅眼鏡,https://renew-fukui.com/exhibitor/sabaeekimegane/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/repair01-1024x633.jpg,"ワークショップ,ショップ",6-8日,10:00-19:00,〒916-0053 福井県鯖江市日の出町1-2,0778-62-7507,sabae-eki-megane@repair-f.com,https://www.instagram.com/sabaeekimegane/,メガネストリートの出発地点である鯖江駅。その観光案内所にて「めがねのまち」産地ならではのメガネ販売や、メガネの素材を使ったワークショップ体験が出来るお店です。,,http://www.repair-f.com,,,,,,,,,,,,,,,,,,,,,,,,,,
ろくろ舎,https://renew-fukui.com/exhibitor/rokurosya/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/rokurosya02-1-1024x679.jpg,"工房見学,ワークショップ,ショップ",6-8日,6-8日 10:00-17:00,〒916-1221 福井県鯖江市西袋町512,,info@rokurosha.jp,https://www.instagram.com/rokurosha/,"伝統的な丸物木地師としての技術を継承しながら、「価値の再定義」をコンセプトに、木材を中心に素材、製法にこだわることなくプロダクトを製作。
また、「持続可能」をテーマに作り手の領域にとどまらず様々な活動を行っています。",6-8日 10:00-17:00,http://rokurosha.jp,,5-60分,,,https://rokurosha.stores.jp,,,,,,,,,,,,,,,,,,,,,
滝製紙所,https://renew-fukui.com/exhibitor/taki/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/75c140d3601436d9bf49d9f8aa3af58a-1.jpg,"工房見学,工房見学予約受付,ショップ",6-8日,"6・7日 10:00-12:00 / 13:00-16:00
8日 10:00-12:00",〒915-0234 福井県越前市大滝町27-30,0778-43-0332,info@takiseishi.com,https://www.instagram.com/takiseishi/,"1875年創業。手漉きと機械抄きの両輪にて越前和紙を製造。
主に襖紙などの内装材をとした大紙（約100cm×200cm）を製紙しています。
手漉きでは各種襖紙の他、創作和紙や全国唯一の襖判檀紙等を製造。
機械漉きでは2ｍ幅での抄紙が可能で、襖判の鳥の子をはじめ、色物から手漉きの技を活かした模様紙、美術小間紙を製紙しています。
ホテルや店舗等での施工実績も多く、アーティストとの協業など、別注和紙、各種OEMにも対応。伝統技術に新たな感性を加え、枠に嵌らない和紙を製造しています。","6・7日 11:00- / 13:00- / 14:00- / 15:00-
8日 10:30- / 11:30",https://www.takiseishi.com/,,20分程度,,,https://takiseishi.stores.jp/,https://www.facebook.com/takiseishi/,,,,,,,,,,"500円（学生無料※お土産無し）
当日払い・500円相当のお土産付き",予約優先/飛入り可,,,,,,,,,
Happy’sEat（ハピスイート）,https://renew-fukui.com/exhibitor/happysweet/,https://renew-fukui.com/kanri/wp-content/uploads/2023/07/IMG_6802-4000x3000.jpeg,ローカルフード,※うるしの里フードコートにてキッチンカーでの出店,,〒918-8105 福井県福井市木田1-3412シダーテラスD棟,080-8999-6754,fls.nakamura.y@gmail.com,https://www.instagram.com/happyseat1024/,Happy’s Eatは、カラダに優しいスイーツLabをコンセプトとしたスイーツショップです。数あるメニューのなかでも当店の看板メニューは、鹿児島県産の完全無農薬バナナを使ったバナナスムージーです！そのバナナの名は、『神バナナ』。神バナナは無農薬栽培なので、バナナの皮まで食べられます。もちろんバナナスムージーにもバナナの皮が含まれているので、栄養価が非常に高いです。さらに、神バナナの糖度は25度以上あるので砂糖などの甘味料は不使用！バナナ特有の雑味も非常に少ないので、香料も使っていません！なのでバナナ本来の甘みやうまみを存分に楽しめます♪バナナとミルクのみで作る王道のバナナスムージーをはじめ、チョコバナナスムージーやカフェオレバナナスムージー、いちごバナナスムージーなどのメニュー揃えています。バナナスムージーを片手にRENEWを楽しみましょう！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shifu.,https://renew-fukui.com/exhibitor/shifu/,https://renew-fukui.com/kanri/wp-content/uploads/2023/07/image_6483441.jpg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ",6・7日,6・7日 10:00-12:00 / 13:00-16:00,〒915-0846福井県越前市千福町606-2,080-3047-9047,ico19910417@gmail.com,https://instagram.com/shifu.2022?igshid=OGQ5ZDc2ODk2ZA==,shifu.（シフ）は、クラウドファンディングから生まれた 和紙を素材とした新しいアパレルブランドです。和紙の生地の原料は、多年性植物であるマニラ麻の葉鞘から抽出した繊維を使用しています。 この葉鞘は茎を覆うように包み込んでいて、茎を守るための紫外線をカット、調湿性、抗菌等の自然の力があり、その効果は加工された和紙にも引き継がれます。そして、全く毛羽のない和紙を糸にしていくため、麻のようなシャリ感（清涼感）がありながら、チクチク感は全くなく滑らかな肌触りです。 多機能高性能の和紙100％の生地を使い、ひとつひとつ丁寧に作り、皆さまの元へお届けいたします。,6・7日 10:00-12:00 / 13:00-16:00,,,30分,,,https://shifu-2022.myshopify.com/,,,予約優先 / 飛入り可,,,,,MAIL：ico19910417@gmail.com,,,,,,,,,,,,,
越前セラミカ,https://renew-fukui.com/exhibitor/seramica/,https://renew-fukui.com/kanri/wp-content/uploads/2022/07/DSCF9017-1024x768.jpg,"工房見学,工房見学予約受付,ワークショップ,ワークショップ予約受付,ショップ,求人募集",6-8日,"6・7日 10:00-12:00 / 13:00-17:00
8日 10:00-12:00 / 13:00-16:00",〒915-0873 福井県越前市池ノ上町5-12,0778-24-0832,info@e-seramika.com,https://www.instagram.com/echizen_seramika/,越前セラミカは創業以来、伝統の「越前瓦」の製造・販売・施工を通して、瓦屋根の建物を守ってきました。「美しい色合い」と「抜群の強度」を兼ね備えた越前瓦は、福井の風景の象徴的な存在。越前瓦を通して、地域の風土と共に生きる暮らし、地域の風景を守ります。また、越前瓦の製造技術を活かした商品開発にも積極的に取り組んでいます。,"6・7日 10:00-12:00 / 13:00-17:00
8日 10:00-12:00 / 13:00-16:00",https://e-seramika.com/,,30分,有り,一緒に働く人を募集しています。,,https://www.facebook.com/e.seramika/,,要予約,,,,,https://forms.gle/y3qTJiGpMPgVwdPx8,,,,,https://lin.ee/1xv3qh29s,https://www.jalan.net/kankou/spt_guide000000205807/activity/l000035818/?ccnt=planList-in&screenId=OUW2210&dateUndecided=1,,,,,,,
BOSTON CLUB,https://renew-fukui.com/exhibitor/boston-club/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/bosuton03-1-1024x684.jpg,"ワークショップ,ワークショップ予約受付,ショップ,求人募集",6-8日,6-8日 10:00-19:00,〒916-0021 福井県鯖江市三六町1-4-30,0778-52-0890,info@bostonclub.co.jp,https://www.instagram.com/bostonclubshop_sabae/,2017年10月、本社横に隣接する築45年の古いビルをリノベーションし、鯖江では初のメーカー直営店を構える「ボストンクラブビル」をオープン。1階は自社4ブランドの全てが一堂に揃う、充実の品揃えのショップ。2階は代表ブランド「JAPONISM」の初期モデルから、歴代モデルをアーカイブしたミュージアム。3階は3Dプリンターや3D切削機、研磨機等の設備を揃え、新商品の開発やプロト品を製作するラボスペース。4階はセミナー、ワークショップ等も行うことのできる多目的スペースとなっており、ビル全体で本物の良さに触れ、眼鏡づくりの背景を知ったうえで、お気に入りの1本を購入できる魅力的な新スポットとなっています。,,bostonclub-eyewear.com,,,有り,一緒に働く人を募集しています。,,,,,,,,,,,,,,,,,,,,,,
漆器久太郎,https://renew-fukui.com/exhibitor/shikkikutarou/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/soumei01-1024x683.jpg,"工房見学,工房見学予約受付,ワークショップ,ショップ,求人募集",6-8日,,〒916-1221 福井県鯖江市西袋町67-13-3,0778-65-0071,tomiyo@me.ttn.ne.jp,https://www.instagram.com/shikkiqtarou/,"2023年曽明漆器店は100周年を迎えました。
1923年創業、初代「曽明久太郎」は石川県の山中温泉生まれ、山中で修業を積んだ後、越前の地に根を下ろしました。2003年WEBshop「漆器久太郎」が誕生。現在は四代目が2017年にkyutarouBLUEを開発し、当店のオリジナルブランドとして皆様にさらに愛される商品として育てています。
イベント開催中は当店のオリジナル商品をご覧いただける店舗見学、及び販売をいたします。6日には「越前塗と笏谷石で創る箱庭作り」ワークショップを開催します。
また、椀の白木地を200個入れた籠をかつぐ「白木地かつぎ体験」など当店の歴史を楽しめる体験も開催します。",6-8日 10:00-17:00,https://www.shikki-qtarou.com/,https://twitter.com/SIKKI_Q,10分,,,https://www.shikki-qtarou.com/,https://www.facebook.com/echizenshikki,,,,,,,,,6-8日 10:00-17:00,,,,,一緒に働く人を募集しています。,,,,,,
めがねミュージアム,https://renew-fukui.com/exhibitor/megane-museum/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/37e716e5df4ba8885af49c1b7ee365bb-683x1024.jpg,"ワークショップ,ワークショップ予約受付,ショップ",6-8日,"めがねSHOP：10:00～19:00
体験工房：10:00～17:00
めがね博物館：10:00～17:00
SabaeSweets：10:00～17:00
MUSEUM CAFE：10:00～16:00",〒916-004 福井県鯖江市新横江2-3-4 （めがね会館内),0778-42-8311,shop@megane.gr.jp,https://www.instagram.com/meganemuseum/,福井県は、国内生産フレームの９割以上のシェアを持つ「めがねの産地」です。伝統の技を受け継いだ職人の手によってつくられためがねは、日本の優れたモノづくり技術のひとつ。100余年の歴史の中で常に進化し続けるめがねを「めがねミュージアム」でご堪能ください。一般社団法人福井県眼鏡協会の直営ショールームである、「めがねミュージアム」には、Made In JAPANの最新モデルが購入できる「めがねショップ」、めがね素材を使った手作りを体験できる「体験工房」、めがねの歴史をより深く知ることができる「めがね博物館」など、めがねを見て、触れて、体験できる場をご用意しております。,,https://www.megane.gr.jp/museum/,https://twitter.com/meganemuseum,,,,,https://ja-jp.facebook.com/megane.kaikan/,,,,,,,,,,,,,,,,,,,,
ミート＆デリカささき,https://renew-fukui.com/exhibitor/meat-delicasasaki/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/sasaki01.jpg,ローカルフード,※うるしの里会館フードコートにて出展,,〒916-0026 福井県鯖江市本町3-1-5,0778-52-4129,sabae.meatsasaki@gmail.com,,"ミート＆デリカささきは、昭和23年創業の精肉店です。牛・豚・鶏の各種お肉はもちろん、現在では種類豊富なサラダ・お惣菜や、注文が入ってから作る揚げ物・お弁当も取り揃えております。
また、当店発祥で福井の人気グルメとして多数のメディアでも取り上げて頂いてる「歩くソースカツ丼 サバエドッグ」はキッチンカーにていろいろなイベントに出店しております。",,meat-sasaki.com,,,,,,,,,,,,,,,,,,,,,,,,,,
やなせ和紙,https://renew-fukui.com/exhibitor/yanasewashi/,https://renew-fukui.com/kanri/wp-content/uploads/2021/07/yanase02-1024x684.jpg,"工房見学,ワークショップ,ワークショップ予約受付,ショップ",6-8日,6-8日 9:00-12:00 / 13:00-16:00,〒915-0234 福井県越前市大滝町24-21,0778-43-0639,yanase@washicco.jp,https://www.instagram.com/yanasewashi/,（有）やなせ和紙は、本鳥の子紙などの無地の襖紙や、雲肌などの模様のある襖紙を主に漉いています。また、障子紙や壁紙、和紙を用いた小物も製作しています。最近では、立体的な造形を生かして、和紙のみを用いた箱も製作しております。皆様の暮らしの中に和紙がある、そのことも目指し、今後も精進してまいる所存です。,6-8日 9:00-12:00 / 13:00-16:00,http://washicco.jp,,30-60分程度,有り,,http://washicco.jp/shop/index.html,https://www.facebook.com/yanasewashi,,,,,,,,,,,,,,,,,,,,
